FullName,Email,Phone,TransactionType,Amount,TransactionDate,AccountType,Balance,OpeningDate,LoanAmount,LoanType,StartDate,EndDate,InterestRate
Carol Miller,yfisher@example.org,6088279027,withdrawal,102.15,26/04/2023,Savings,5652.16,12/08/2019,,,,,
Geoffrey Banks,gonzalesgeorge@example.net,001-546-857-6518x5359,withdrawal,358.8,13/06/2020,Credit,2881.24,06/05/2019,32428.9,Mortgage,24/06/2021,59:17.9,2.12
Geoffrey Banks,gonzalesgeorge@example.net,001-546-857-6518x5359,withdrawal,358.8,13/06/2020,Credit,2881.24,06/05/2019,31406.77,Personal,27/02/2021,59:17.9,4.63
Geoffrey Banks,gonzalesgeorge@example.net,001-546-857-6518x5359,withdrawal,358.8,13/06/2020,Credit,2881.24,06/05/2019,27834,Personal,05/12/2019,59:17.9,2.15
Geoffrey Banks,gonzalesgeorge@example.net,001-546-857-6518x5359,withdrawal,358.8,13/06/2020,Credit,2881.24,06/05/2019,27873.08,Auto,19/01/2022,59:17.9,7.03
Eric Phillips,mark13@example.com,(699)516-7638x82918,deposit,112.41,17/05/2019,Savings,2391.9,17/09/2020,25666.75,Auto,09/05/2023,59:17.9,6.84
Eric Phillips,mark13@example.com,(699)516-7638x82918,deposit,112.41,17/05/2019,Savings,2391.9,17/09/2020,23853.85,Personal,30/01/2024,59:17.9,7.41
Eric Phillips,mark13@example.com,(699)516-7638x82918,deposit,112.41,17/05/2019,Savings,2391.9,17/09/2020,8092.2,Personal,18/08/2021,59:17.9,2.85
Paul Noble,harrisonrachel@example.net,+1-586-758-3968x3144,deposit,463.13,02/09/2020,Credit,7880.53,14/08/2023,11074.47,Personal,11/02/2022,59:17.9,5.36
Paul Noble,harrisonrachel@example.net,+1-586-758-3968x3144,deposit,463.13,02/09/2020,Credit,7880.53,14/08/2023,38903.23,Personal,14/07/2021,59:17.9,2.28
Ryan Alexander,loganjohn@example.org,900.377.1792x148,withdrawal,21.94,03/07/2022,Credit,3020.69,13/08/2019,18162.6,Personal,09/11/2023,59:17.9,2.12
Danny Brown,michellearnold@example.org,824-606-7014x9045,withdrawal,106.09,30/03/2019,Savings,947.43,06/05/2022,12965.19,Mortgage,17/07/2022,59:17.9,7.43
Desiree Nelson,johnsonhaley@example.com,231.515.3313,withdrawal,467.37,05/04/2019,Savings,4492.62,31/08/2020,37664.6,Mortgage,21/12/2022,59:17.9,4.45
Martha Smith,darlenegoodwin@example.net,+1-665-427-6242x5731,withdrawal,256.62,22/05/2022,Credit,8439.15,05/11/2020,,,,,
Jesse Osborn,dennis81@example.org,(504)953-6008x457,deposit,272.21,27/05/2023,Checking,9232.35,13/06/2022,,,,,
Anita Park,xpayne@example.net,806-211-4478x986,withdrawal,498.95,22/06/2021,Savings,3717.19,19/08/2019,,,,,
Evelyn Ward,paul13@example.org,(347)767-4187,withdrawal,369.25,29/10/2022,Checking,3721.97,25/10/2022,33958.37,Auto,19/12/2022,59:17.9,5.2
Evelyn Ward,paul13@example.org,(347)767-4187,withdrawal,369.25,29/10/2022,Checking,3721.97,25/10/2022,12021.11,Personal,22/03/2019,59:17.9,1.62
Evelyn Ward,paul13@example.org,(347)767-4187,withdrawal,369.25,29/10/2022,Checking,3721.97,25/10/2022,24333.16,Mortgage,17/10/2023,59:17.9,1.79
Sabrina Juarez,patrick92@example.com,715-732-5572x27771,withdrawal,295.89,02/10/2021,Checking,4532.51,08/09/2022,26360.24,Auto,26/08/2020,59:17.9,2.89
Kyle Ortiz,lambjacqueline@example.net,(863)835-2860,deposit,344.01,05/03/2023,Checking,2448.6,04/11/2022,14463.85,Auto,25/09/2019,59:17.9,6.45
Kyle Ortiz,lambjacqueline@example.net,(863)835-2860,deposit,344.01,05/03/2023,Checking,2448.6,04/11/2022,19565.92,Mortgage,28/11/2022,59:17.9,3.28
Kyle Ortiz,lambjacqueline@example.net,(863)835-2860,deposit,344.01,05/03/2023,Checking,2448.6,04/11/2022,8170,Personal,13/10/2019,59:17.9,3.53
Ryan Alexander,loganjohn@example.org,900.377.1792x148,withdrawal,268.86,19/07/2023,Credit,3020.69,13/08/2019,18162.6,Personal,09/11/2023,59:17.9,2.12
Robert Brown,andersonmason@example.net,+1-653-515-2636x153,deposit,452.34,01/03/2020,Savings,9772.03,30/07/2020,,,,,
Jeremy Jacobs,fmartinez@example.org,001-331-228-0826x478,withdrawal,416.56,02/04/2023,Savings,4846.99,24/08/2021,42684.76,Personal,15/01/2024,59:17.9,1.96
Daniel Edwards,byoung@example.org,-8700,withdrawal,323.69,26/02/2019,Credit,1496.1,16/06/2021,34427.31,Mortgage,26/07/2022,59:17.9,4.02
Daniel Edwards,byoung@example.org,-8700,withdrawal,323.69,26/02/2019,Credit,1496.1,16/06/2021,17430.29,Auto,16/10/2023,59:17.9,2.8
Daniel Edwards,byoung@example.org,-8700,withdrawal,323.69,26/02/2019,Credit,1496.1,16/06/2021,14964.93,Auto,22/12/2020,59:17.9,5.33
Tommy Brooks,burtonjames@example.com,(534)691-4906,withdrawal,355.49,30/04/2022,Savings,8268,09/01/2021,35994.71,Mortgage,03/09/2023,59:17.9,3.52
Tommy Brooks,burtonjames@example.com,(534)691-4906,withdrawal,56.89,09/04/2021,Savings,4315.64,09/04/2023,35994.71,Mortgage,03/09/2023,59:17.9,3.52
Anita Park,xpayne@example.net,806-211-4478x986,withdrawal,40.97,21/04/2022,Checking,7676.38,26/05/2021,,,,,
Carly Mitchell,zachary24@example.org,(728)923-5061,deposit,150.47,04/03/2020,Checking,6878.1,18/12/2019,8056.59,Mortgage,16/11/2019,59:17.9,7.33
Sarah Green,lnelson@example.net,(390)584-3409x128,deposit,68.11,16/05/2022,Checking,5164.29,04/09/2022,45034.48,Mortgage,04/10/2019,59:17.9,2.58
Martha Smith,darlenegoodwin@example.net,+1-665-427-6242x5731,withdrawal,125.53,25/01/2021,Credit,8539.34,25/03/2023,,,,,
Norman Lee,keithgarcia@example.org,-6164,withdrawal,168.54,14/09/2020,Credit,9770.03,20/06/2019,35911.84,Mortgage,15/02/2023,59:17.9,4
Norman Lee,keithgarcia@example.org,-6164,withdrawal,168.54,14/09/2020,Credit,9770.03,20/06/2019,14085.72,Personal,24/04/2019,59:17.9,2.96
Norman Lee,keithgarcia@example.org,-6164,withdrawal,168.54,14/09/2020,Credit,9770.03,20/06/2019,26011.89,Personal,11/01/2020,59:17.9,6.82
Geoffrey Banks,gonzalesgeorge@example.net,001-546-857-6518x5359,withdrawal,236.09,10/11/2020,Credit,444.6,01/11/2021,32428.9,Mortgage,24/06/2021,59:17.9,2.12
Geoffrey Banks,gonzalesgeorge@example.net,001-546-857-6518x5359,withdrawal,236.09,10/11/2020,Credit,444.6,01/11/2021,31406.77,Personal,27/02/2021,59:17.9,4.63
Geoffrey Banks,gonzalesgeorge@example.net,001-546-857-6518x5359,withdrawal,236.09,10/11/2020,Credit,444.6,01/11/2021,27834,Personal,05/12/2019,59:17.9,2.15
Geoffrey Banks,gonzalesgeorge@example.net,001-546-857-6518x5359,withdrawal,236.09,10/11/2020,Credit,444.6,01/11/2021,27873.08,Auto,19/01/2022,59:17.9,7.03
Valerie Cuevas,brookscrystal@example.org,760-896-1814x1067,deposit,297.99,01/05/2023,Savings,8330.83,23/01/2024,26282.21,Auto,09/01/2020,59:17.9,3.51
Valerie Cuevas,brookscrystal@example.org,760-896-1814x1067,deposit,297.99,01/05/2023,Savings,8330.83,23/01/2024,40432.8,Mortgage,18/10/2023,59:17.9,4.29
Valerie Cuevas,brookscrystal@example.org,760-896-1814x1067,deposit,297.99,01/05/2023,Savings,8330.83,23/01/2024,49124.49,Auto,05/11/2022,59:17.9,5.58
Monica Graves,xday@example.net,402.918.5084x3030,deposit,147.5,18/01/2020,Savings,8648.97,05/06/2022,48233.91,Personal,03/12/2023,59:17.9,4.7
Monica Graves,xday@example.net,402.918.5084x3030,deposit,147.5,18/01/2020,Savings,8648.97,05/06/2022,5710.02,Mortgage,28/11/2023,59:17.9,5.45
Kim Stone,garrett28@example.org,001-668-236-9938,deposit,145.72,14/10/2019,Savings,7446.25,29/10/2023,,,,,
Shelby Smith,carolyn11@example.com,580.272.0301x65432,withdrawal,351.38,19/05/2022,Checking,9529.29,07/05/2023,,,,,
Eric Anderson,spencer16@example.com,851-945-5888,deposit,403.71,14/11/2023,Savings,5051.48,16/05/2022,,,,,
Ryan Alexander,loganjohn@example.org,900.377.1792x148,deposit,358.37,30/08/2022,Checking,4880.23,30/09/2020,18162.6,Personal,09/11/2023,59:17.9,2.12
Jason Bennett,joseph97@example.net,(632)674-7662x30858,deposit,140.67,08/11/2022,Savings,8380.64,24/11/2021,42355.47,Mortgage,23/02/2019,59:17.9,7.05
Jason Bennett,joseph97@example.net,(632)674-7662x30858,deposit,140.67,08/11/2022,Savings,8380.64,24/11/2021,35193.83,Mortgage,17/01/2021,59:17.9,1.85
Paul Noble,harrisonrachel@example.net,+1-586-758-3968x3144,deposit,268.39,11/02/2023,Credit,7252.65,14/03/2019,11074.47,Personal,11/02/2022,59:17.9,5.36
Paul Noble,harrisonrachel@example.net,+1-586-758-3968x3144,deposit,268.39,11/02/2023,Credit,7252.65,14/03/2019,38903.23,Personal,14/07/2021,59:17.9,2.28
Sharon Dunn,hillemily@example.org,+1-257-930-5427x0665,deposit,93.16,15/09/2020,Checking,4000.76,17/09/2023,38009.14,Personal,11/04/2023,59:17.9,5.8
Sharon Dunn,hillemily@example.org,+1-257-930-5427x0665,deposit,93.16,15/09/2020,Checking,4000.76,17/09/2023,22725.99,Auto,11/07/2019,59:17.9,5.42
Sharon Dunn,hillemily@example.org,+1-257-930-5427x0665,deposit,93.16,15/09/2020,Checking,4000.76,17/09/2023,8040.33,Mortgage,28/03/2019,59:17.9,6.4
Peter Callahan,miranda13@example.org,-5276,withdrawal,384.83,22/01/2024,Savings,5436.03,30/04/2019,32850.56,Personal,24/11/2021,59:17.9,2.81
Heather Wright,adamssheila@example.net,850-282-6951x4975,deposit,497.14,10/10/2019,Credit,3099.1,25/01/2022,13931.18,Mortgage,30/01/2021,59:17.9,3.35
Lauren Gray,kenneth99@example.net,218.715.2894x614,deposit,30,24/02/2023,Checking,4765.84,19/02/2022,48933.91,Auto,06/08/2020,59:17.9,4.43
Lauren Gray,kenneth99@example.net,218.715.2894x614,deposit,30,24/02/2023,Checking,4765.84,19/02/2022,47062.38,Mortgage,22/10/2019,59:17.9,6.27
Peter Callahan,miranda13@example.org,-5276,deposit,494.22,02/10/2022,Checking,6400.46,22/03/2021,32850.56,Personal,24/11/2021,59:17.9,2.81
Stacy Oliver,matthew64@example.net,+1-520-295-6567x57281,withdrawal,465.1,20/06/2021,Checking,3099.96,05/05/2023,,,,,
Daniel Edwards,byoung@example.org,-8700,deposit,306.02,28/02/2019,Credit,1496.1,16/06/2021,34427.31,Mortgage,26/07/2022,59:17.9,4.02
Daniel Edwards,byoung@example.org,-8700,deposit,306.02,28/02/2019,Credit,1496.1,16/06/2021,17430.29,Auto,16/10/2023,59:17.9,2.8
Daniel Edwards,byoung@example.org,-8700,deposit,306.02,28/02/2019,Credit,1496.1,16/06/2021,14964.93,Auto,22/12/2020,59:17.9,5.33
Joseph Hernandez,zmcbride@example.org,+1-281-215-1718x809,withdrawal,105.12,29/11/2022,Credit,6681.52,09/11/2021,19607.01,Mortgage,19/07/2023,59:17.9,2.93
Joseph Hernandez,zmcbride@example.org,+1-281-215-1718x809,withdrawal,105.12,29/11/2022,Credit,6681.52,09/11/2021,39348,Auto,09/02/2020,59:17.9,4.95
Carly Mitchell,zachary24@example.org,(728)923-5061,withdrawal,412.17,17/11/2022,Savings,3506.26,04/12/2019,8056.59,Mortgage,16/11/2019,59:17.9,7.33
Deborah Jenkins,garciakerri@example.net,776-598-8125x88442,withdrawal,328.65,16/11/2020,Savings,1443.64,30/05/2020,49675.33,Auto,13/12/2021,59:17.9,3.89
Deborah Jenkins,garciakerri@example.net,776-598-8125x88442,withdrawal,328.65,16/11/2020,Savings,1443.64,30/05/2020,31033.48,Personal,11/11/2023,59:17.9,5.66
Deborah Jenkins,garciakerri@example.net,776-598-8125x88442,withdrawal,328.65,16/11/2020,Savings,1443.64,30/05/2020,49754.29,Mortgage,14/11/2019,59:17.9,4.83
Jason Martin,isabella87@example.com,+1-990-327-2307x7625,deposit,448.75,31/10/2021,Checking,4797.54,28/03/2022,8419.93,Personal,29/10/2021,59:17.9,4.1
Charles Wise,campossarah@example.net,532.804.9131x538,withdrawal,36.85,05/10/2021,Credit,2920.84,03/12/2019,20109.87,Auto,30/06/2021,59:17.9,4.66
Sarah Green,lnelson@example.net,(390)584-3409x128,deposit,430.92,12/09/2023,Checking,8232.61,27/06/2019,45034.48,Mortgage,04/10/2019,59:17.9,2.58
Eric Phillips,mark13@example.com,(699)516-7638x82918,withdrawal,167.84,02/03/2020,Checking,2161.94,06/11/2021,25666.75,Auto,09/05/2023,59:17.9,6.84
Eric Phillips,mark13@example.com,(699)516-7638x82918,withdrawal,167.84,02/03/2020,Checking,2161.94,06/11/2021,23853.85,Personal,30/01/2024,59:17.9,7.41
Eric Phillips,mark13@example.com,(699)516-7638x82918,withdrawal,167.84,02/03/2020,Checking,2161.94,06/11/2021,8092.2,Personal,18/08/2021,59:17.9,2.85
Valerie Cuevas,brookscrystal@example.org,760-896-1814x1067,withdrawal,387.49,03/03/2023,Savings,8330.83,23/01/2024,26282.21,Auto,09/01/2020,59:17.9,3.51
Valerie Cuevas,brookscrystal@example.org,760-896-1814x1067,withdrawal,387.49,03/03/2023,Savings,8330.83,23/01/2024,40432.8,Mortgage,18/10/2023,59:17.9,4.29
Valerie Cuevas,brookscrystal@example.org,760-896-1814x1067,withdrawal,387.49,03/03/2023,Savings,8330.83,23/01/2024,49124.49,Auto,05/11/2022,59:17.9,5.58
Valerie Cuevas,brookscrystal@example.org,760-896-1814x1067,deposit,474.37,11/08/2019,Savings,8330.83,23/01/2024,26282.21,Auto,09/01/2020,59:17.9,3.51
Valerie Cuevas,brookscrystal@example.org,760-896-1814x1067,deposit,474.37,11/08/2019,Savings,8330.83,23/01/2024,40432.8,Mortgage,18/10/2023,59:17.9,4.29
Valerie Cuevas,brookscrystal@example.org,760-896-1814x1067,deposit,474.37,11/08/2019,Savings,8330.83,23/01/2024,49124.49,Auto,05/11/2022,59:17.9,5.58
Danny Brown,michellearnold@example.org,824-606-7014x9045,deposit,227.4,16/12/2023,Checking,2511.55,23/02/2023,12965.19,Mortgage,17/07/2022,59:17.9,7.43
Geoffrey Banks,gonzalesgeorge@example.net,001-546-857-6518x5359,withdrawal,370.16,15/11/2020,Credit,2881.24,06/05/2019,32428.9,Mortgage,24/06/2021,59:17.9,2.12
Geoffrey Banks,gonzalesgeorge@example.net,001-546-857-6518x5359,withdrawal,370.16,15/11/2020,Credit,2881.24,06/05/2019,31406.77,Personal,27/02/2021,59:17.9,4.63
Geoffrey Banks,gonzalesgeorge@example.net,001-546-857-6518x5359,withdrawal,370.16,15/11/2020,Credit,2881.24,06/05/2019,27834,Personal,05/12/2019,59:17.9,2.15
Geoffrey Banks,gonzalesgeorge@example.net,001-546-857-6518x5359,withdrawal,370.16,15/11/2020,Credit,2881.24,06/05/2019,27873.08,Auto,19/01/2022,59:17.9,7.03
